#Epochs / loss	AlexNet	std	VGG16	std	VGG19	std	GoogLeNet	std	ResNet18	std	ResNet34	std	ResNet50	std	ResNet101	std	ResNet152	std
72	0.001691439	0.000953243	0.000129953	6.56818E-05	0.000104096	2.94881E-05	0.00622069	0.001055128	0.002479409	0.000534301	0.002479409	0.000534301	0.002247101	0.002162962	0.003855054	0.001503633	0.002582467	0.000697123
73	0.002615361	0.002138441	0.000138157	5.91863E-05	9.86886E-05	2.40347E-05	0.00579599	0.001033187	0.002226749	0.00037364	0.002226749	0.00037364	0.001818378	0.000447816	0.003902408	0.001727421	0.002248623	0.000565389
74	0.003179447	0.004416055	0.000136507	7.51861E-05	9.78715E-05	2.4468E-05	0.006111937	0.000988176	0.002127396	0.000335576	0.002127396	0.000335576	0.001743442	0.000536975	0.003529635	0.001107363	0.003052365	0.001622149
75	0.003448474	0.00419945	0.000104592	4.09873E-05	0.000105409	3.94158E-05	0.006051829	0.00082424	0.00225408	0.000321285	0.00225408	0.000321285	0.001680469	0.000460069	0.003158757	0.000725345	0.002461327	0.000551062
76	0.003418796	0.003732775	0.000139816	7.62316E-05	9.86381E-05	3.66983E-05	0.005847987	0.000845262	0.002079507	0.000258815	0.002079507	0.000258815	0.001584374	0.000333959	0.002975428	0.000602946	0.002463032	0.000844864
77	0.002623272	0.002746674	8.50776E-05	3.61284E-05	8.60451E-05	2.15927E-05	0.005446932	0.001174042	0.002089327	0.000401195	0.002089327	0.000401195	0.001555236	0.000359615	0.002750353	0.00045346	0.002160301	0.000521591
78	0.002266131	0.002518798	0.000115659	3.60334E-05	8.53922E-05	2.654E-05	0.00564606	0.001146056	0.00213543	0.000374418	0.00213543	0.000374418	0.001553235	0.00033517	0.00255885	0.00069841	0.002441871	0.000867667
79	0.001421361	0.00082163	0.000178315	0.000155083	8.50949E-05	3.77484E-05	0.005176467	0.000651828	0.001838185	0.000216951	0.001838185	0.000216951	0.001380086	0.00024669	0.002945709	0.002105081	0.002047614	0.000541406
80	0.002095571	0.00220725	0.000132514	6.5668E-05	8.41572E-05	3.48317E-05	0.005640003	0.00078359	0.001923842	0.000375757	0.001923842	0.000375757	0.001371021	0.000244273	0.003968021	0.002126509	0.003355472	0.003372364
81	0.002418949	0.002137699	0.000105065	6.37359E-05	7.63461E-05	1.79771E-05	0.006300877	0.003338233	0.001960092	0.000262975	0.001960092	0.000262975	0.001487295	0.000339288	0.002675049	0.000733853	0.002516972	0.001046677
82	0.001622891	0.001098484	0.000109519	7.91093E-05	8.41441E-05	2.26517E-05	0.005265785	0.000749257	0.001786461	0.000263955	0.001786461	0.000263955	0.001603227	0.000285703	0.002249932	0.000555142	0.002638063	0.001457363
83	0.001426231	0.001080875	8.65774E-05	4.05528E-05	7.94117E-05	2.38544E-05	0.005413016	0.000606195	0.001678166	0.000159573	0.001678166	0.000159573	0.001448852	0.000312139	0.00222425	0.000479214	0.003543543	0.003284085
84	0.002163784	0.003035388	9.99421E-05	5.27229E-05	7.44124E-05	2.02924E-05	0.004561231	0.00093188	0.001897839	0.000203512	0.001897839	0.000203512	0.00143829	0.000234132	0.002735857	0.000467165	0.002734032	0.001992936
85	0.003322457	0.007861908	8.2381E-05	6.34425E-05	8.06352E-05	1.53541E-05	0.004289468	0.000793073	0.002003697	0.000533132	0.002003697	0.000533132	0.001369455	0.000325379	0.002463998	0.000620213	0.002518539	0.001681019
86	0.001535022	0.00286251	8.83095E-05	3.69768E-05	6.48403E-05	2.05645E-05	0.00466747	0.000543816	0.002027421	0.000441625	0.002027421	0.000441625	0.001361065	0.000217147	0.002247597	0.000536427	0.00194284	0.000642231
87	0.000848373	0.000842491	8.5627E-05	5.19428E-05	7.65038E-05	1.03478E-05	0.004616671	0.000573385	0.001862857	0.000339658	0.001862857	0.000339658	0.001313895	0.000184501	0.004113742	0.004482282	0.00193561	0.000654701
88	0.000690461	0.000212741	6.94242E-05	2.15466E-05	6.29895E-05	1.90967E-05	0.004728401	0.000537676	0.00181391	0.00032181	0.00181391	0.00032181	0.001414063	0.000403111	0.005247694	0.009155184	0.002741324	0.00268966
89	0.000616326	0.000270561	7.4471E-05	1.91867E-05	0.000109286	0.000133461	0.004742252	0.000567706	0.001868947	0.000338843	0.001868947	0.000338843	0.001268832	0.000245483	0.003600946	0.003402827	0.001770641	0.000494487
90	0.000535729	0.000241261	8.58391E-05	7.72665E-05	7.6342E-05	4.27543E-05	0.004672839	0.001125974	0.001780281	0.000307167	0.001780281	0.000307167	0.001484983	0.00033494	0.003292759	0.003510281	0.002246619	0.001688654 
