#Epochs / accuracy	AlexNet	std	VGG16	std	VGG19	std	GoogLeNet	std	ResNet18	std	ResNet34	std	ResNet50	std	ResNet101	std	ResNet152	std
59	87.01388889	2.94718746	89.09722222	2.197245829	87.84722222	2.895832408	80.20833333	2.582860371	83.68055556	3.022584458	86.25	3.204158606	80.90277778	1.997994965	79.44444444	3.931098095	77.63888889	5.845079297
60	89.02777778	2.695541968	89.02777778	2.215460391	87.84722222	2.820846668	80.13888889	2.742835786	83.26388889	3.198300142	85.55555556	3.335261788	80.97222222	1.707323048	79.51388889	4.620940921	77.77777778	5.526544623
61	87.91666667	3.405217694	89.09722222	2.14791865	87.98611111	3.036733555	80.69444444	3.084876157	83.61111111	3.341681932	85.90277778	3.339275824	81.11111111	3.084876157	79.44444444	4.802334252	76.66666667	5.209104881
62	88.54166667	2.724213494	89.30555556	2.176418384	87.84722222	2.895832408	80.55555556	2.699514766	83.40277778	3.666625748	85.83333333	3.341681932	80.76388889	2.494206249	80.34722222	4.089433379	77.43055556	5.700745535
63	88.40277778	3.071821185	88.95833333	1.976423538	87.98611111	2.910597742	80.69444444	2.99676895	83.68055556	2.858585425	86.18055556	3.280999933	80.20833333	2.102534968	80	4.438170726	77.63888889	5.854239433
64	88.40277778	4.128555125	89.16666667	2.387740177	88.05555556	2.735010276	80.55555556	2.835057573	83.33333333	3.322384281	85.69444444	3.109098776	79.65277778	1.733794751	79.51388889	5.157935175	77.22222222	4.786687787
65	88.75	2.99676895	89.02777778	2.423380061	88.125	2.786444812	80.83333333	3.14337874	83.88888889	3.170535864	85.69444444	3.16037929	79.86111111	1.309457002	78.68055556	4.778284677	77.77777778	5.622665649
66	88.61111111	3.341681932	88.81944444	2.437709929	88.26388889	2.843550026	80.41666667	3.014596407	83.95833333	3.078790726	85.69444444	2.85764803	80	2.793167246	78.75	4.666519692	77.43055556	5.830852647
67	89.02777778	3.828902431	88.68055556	2.557844185	87.98611111	2.778742117	81.11111111	3.084876157	83.54166667	3.480699528	85.69444444	3.260521641	80.41666667	2.28686834	79.16666667	5.082059815	77.70833333	5.569523336
68	89.375	2.557844185	88.88888889	2.383247718	88.125	2.862331934	80.55555556	3.354485358	83.81944444	2.928949738	86.18055556	3.164615157	80.90277778	1.612081977	79.58333333	4.79116342	77.36111111	5.921584058
69	88.05555556	5.026933631	88.54166667	2.914277387	88.19444444	2.87260964	80.76388889	2.640309884	83.75	3.039379178	86.11111111	3.240740741	80.83333333	1.434438276	79.93055556	4.236174357	76.80555556	5.518782619
70	87.77777778	4.051917868	88.61111111	2.838835133	88.19444444	2.946278255	80.625	2.688575446	83.88888889	3.170535864	85.76388889	3.692837068	80.76388889	2.09743172	79.58333333	3.931098095	77.43055556	5.421314087
71	89.51388889	2.767147871	89.02777778	2.166547955	88.26388889	2.954451026	80.27777778	2.819896728	83.54166667	3.274460814	86.18055556	2.899530791	80.27777778	1.996653579	79.58333333	3.735396806	77.63888889	5.466100794
72	89.23611111	3.092682689	88.88888889	2.314814815	87.98611111	2.778742117	80.27777778	3.109098776	83.68055556	2.950821478	85.76388889	3.092682689	80.34722222	2.472629665	80.55555556	3.417783116	77.77777778	4.996998413
73	88.81944444	2.437709929	89.02777778	2.28686834	88.26388889	3.181502231	80.41666667	2.333259846	83.75	3.16037929	85.83333333	3.276914513	80.625	2.00335153	80.06944444	3.071821185	78.19444444	5.518782619
74	88.81944444	3.026127934	88.95833333	2.231126067	88.40277778	3.371216062	80.34722222	2.797959096	83.47222222	3.537957995	85.27777778	3.47684877	80.76388889	2.14791865	80.27777778	3.194108946	77.5	5.351178991
75	88.26388889	2.628104996	88.95833333	2.370849561	88.19444444	3.139967585	80.34722222	3.556839323	83.68055556	3.057834448	85.20833333	3.929052956	80.06944444	2.122825281	80.20833333	3.294039229	77.63888889	5.514897519
76	88.54166667	3.10996038	88.75	2.26331603	88.19444444	2.982430261	80.06944444	2.892129296	83.33333333	3.510590483	85.13888889	3.528859074	80.55555556	2.928034871	79.375	4.115555864	77.56944444	5.369671889
77	89.09722222	3.10651253	88.88888889	2.360657182	88.33333333	2.960792029	80.76388889	3.140820721	83.26388889	3.607696629	85.83333333	3.778186252	80.13888889	2.342427896	80.13888889	4.065120633	77.98611111	5.155857038
78	89.23611111	3.277732004	88.81944444	2.325208149	88.40277778	2.817044986	80.06944444	2.778742117	83.47222222	3.18739157	85.625	3.660775524	80.48611111	2.255014607	80	4.00670306	77.77777778	5.196746371
79	89.02777778	3.220838358	89.09722222	2.599404081	88.26388889	2.747715412	80.20833333	3.589829264	83.47222222	3.102197327	85.27777778	3.461402897	81.18055556	1.776535542	78.75	4.655022952	77.98611111	5.399525744
80	88.33333333	4.00670306	88.95833333	2.437709929	88.19444444	2.679591876	80.69444444	2.905991635	83.68055556	2.968924847	85.34722222	4.015386431	80.76388889	1.853298046	79.65277778	4.076309362	77.5	5.321053894
81	88.47222222	3.735396806	88.88888889	2.493131855	88.19444444	2.891202777	80.27777778	3.721024314	83.61111111	3.293225786	85.625	3.860261697	80.76388889	2.245489688	79.93055556	4.248804601	77.5	5.595918192
82	88.95833333	3.164615157	89.02777778	2.215460391	88.26388889	2.747715412	80.41666667	3.18739157	83.81944444	3.371216062	85.76388889	3.649046938	80.69444444	2.28686834	79.375	3.660775524	76.94444444	5.734016372
83	88.95833333	3.455980532	89.16666667	2.126608163	88.33333333	2.754532367	80.48611111	2.990504233	83.33333333	2.797001383	86.04166667	3.562860215	81.52777778	1.14343417	79.58333333	3.276914513	77.36111111	5.280619768
84	88.54166667	3.022584458	89.16666667	2.319439824	88.19444444	2.777777778	80.625	2.862331934	83.61111111	3.227486122	86.04166667	3.248172695	79.51388889	1.859071575	79.65277778	3.860261697	77.36111111	5.250089816
85	89.30555556	2.683588286	89.09722222	2.221498725	88.19444444	2.777777778	80.69444444	2.793167246	83.75	3.373599389	85.76388889	3.092682689	80.48611111	2.302048128	79.93055556	3.577868117	77.22222222	4.696279501
86	89.30555556	3.341681932	89.02777778	2.310180546	88.40277778	2.928949738	80.69444444	2.715347833	83.61111111	2.762302572	85.625	3.258055596	80	2.887493728	79.44444444	3.917443667	77.70833333	5.076257472
87	89.375	3.556839323	89.09722222	2.338994089	88.40277778	2.778742117	80.69444444	3.253941369	83.88888889	2.715347833	85.90277778	3.224994816	79.30555556	1.985889869	79.93055556	3.710208408	77.84722222	5.252640756
88	89.09722222	4.501109641	89.02777778	2.116505454	88.33333333	2.812285657	80.20833333	2.724213494	83.81944444	3.054327756	86.18055556	3.198300142	79.65277778	2.019335971	79.72222222	3.492226327	77.63888889	5.71529606
89	89.375	3.496060148	88.95833333	2.393343894	88.33333333	2.614818749	80.34722222	3.274460814	83.68055556	3.294039229	86.25	3.583106032	79.79166667	1.949123559	80.20833333	3.663701804	78.05555556	5.440553535
90	89.93055556	3.092682689	89.02777778	2.310180546	88.40277778	2.640309884	80.83333333	3.325608333	83.61111111	3.126285744	85.76388889	3.194947625	79.44444444	2.683588286	79.79166667	3.738981297	78.05555556	5.624571314 
